,지역명,연도,월,분양가격(㎡)
2760,세종,2018,6,3131
2765,강원,2018,6,2292
2770,충북,2018,6,2386
2775,충남,2018,6,2467
2780,전북,2018,6,2326
2785,전남,2018,6,2356
2790,경북,2018,6,2631
2795,경남,2018,6,2695
2800,제주,2018,6,3925
2805,서울,2018,7,6820
2810,인천,2018,7,3372
2815,경기,2018,7,3952
2820,부산,2018,7,3950
2825,대구,2018,7,3712
2830,광주,2018,7,2935
2835,대전,2018,7,2939
2840,울산,2018,7,3125
2845,세종,2018,7,3131
2850,강원,2018,7,2312
2855,충북,2018,7,2390
2860,충남,2018,7,2467
2865,전북,2018,7,2333
2870,전남,2018,7,2357
2875,경북,2018,7,2674
2880,경남,2018,7,2696
2885,제주,2018,7,3334
